"species","speciesKey","occurences","family","iucnRedListCategory","abundance_rank","shannon_info"
"Lanius cristatus","3S7BL",34,"Laniidae","LC",355,15.1610299679703
"Anthus godlewskii","67KDD",32,"Motacillidae","LC",356,15.2484928092206
"Gallinago media","6K9FQ",32,"Scolopacidae","NT",357,15.2484928092206
"Calidris subruficollis","9HCHR",31,"Scolopacidae","VU",358,15.2942964988337
"Calidris falcinellus","9HKB9",31,"Scolopacidae","VU",359,15.2942964988337
"Streptopelia orientalis","6ZXQ7",31,"Columbidae","LC",360,15.2942964988337
"Eudocimus albus","3C2DJ",31,"Threskiornithidae","LC",361,15.2942964988337
"Picus canus","4HR33",31,"Picidae","LC",362,15.2942964988337
"Aythya affinis","K56N",31,"Anatidae","LC",363,15.2942964988337
"Hieraaetus pennatus","3LKLR",30,"Accipitridae","LC",364,15.3416022136121
"Lanius schach","3S7C5",30,"Laniidae","LC",365,15.3416022136121
"Eudocimus ruber","3C2DL",30,"Threskiornithidae","LC",366,15.3416022136121
"Phylloscopus borealis","77FNW",29,"Phylloscopidae","LC",367,15.390511814093
"Buteo rufinus","NYVP",29,"Accipitridae","LC",368,15.390511814093
"Phylloscopus bonelli","6VFNW",28,"Phylloscopidae","LC",369,15.441137887163
"Clanga clanga","CTW5G",28,"Accipitridae","VU",370,15.441137887163
"Acrocephalus agricola","9L45",27,"Acrocephalidae","LC",371,15.4936053070571
"Junco hyemalis","6NFHF",27,"Passerellidae","LC",372,15.4936053070571
"Otus scops","4B8JH",26,"Strigidae","LC",373,15.5480530910795
"Threskiornis aethiopicus","56LQB",26,"Threskiornithidae","LC",374,15.5480530910795
"Curruca cantillans","DDBNP",25,"Sylviidae","LC",375,15.6046366194459
"Sterna dougallii","6ZSB2",24,"Laridae","LC",376,15.6635303084994
"Puffinus mauretanicus","4QFXW",24,"Procellariidae","CR",377,15.6635303084994
"Otis tarda","4B729",24,"Otididae","EN",378,15.6635303084994
"Glareola nordmanni","3G5XD",24,"Glareolidae","NT",379,15.6635303084994
"Tetrax tetrax","55TXX",23,"Otididae","NT",380,15.7249308531636
"Limnodromus scolopaceus","72DFK",23,"Scolopacidae","NT",381,15.7249308531636
"Mniotilta varia","43SRL",23,"Parulidae","LC",382,15.7249308531636
"Lophodytes cucullatus","3W3GS",23,"Anatidae","LC",383,15.7249308531636
"Pluvialis dominica","4KKPW",22,"Charadriidae","LC",384,15.7890611905833
"Mareca falcata","9HJGR",22,"Anatidae","LC",385,15.7890611905833
"Luscinia luscinia","3WFW5",22,"Muscicapidae","LC",386,15.7890611905833
"Dendrocygna bicolor","34Q32",22,"Anatidae","LC",387,15.7890611905833
"Actitis macularius","64R5G",22,"Scolopacidae","LC",388,15.7890611905833
"Fratercula arctica","6JMR3",21,"Alcidae","VU",389,15.8561753864418
"Callonetta leucophrys","PVJX",20,"Anatidae","LC",390,15.9265647143332
"Chroicocephalus genei","5YGFP",20,"Laridae","LC",391,15.9265647143332
"Apus affinis","FZD6",20,"Apodidae","LC",392,15.9265647143332
"Porphyrio porphyrio","787WV",20,"Rallidae","LC",393,15.9265647143332
"Calidris bairdii","PK43",19,"Scolopacidae","LC",394,16.000565295777
"Motacilla citreola","44G9C",19,"Motacillidae","LC",395,16.000565295777
"Melanitta perspicillata","3Z83D",19,"Anatidae","LC",396,16.000565295777
"Coracias garrulus","5ZZQS",19,"Coraciidae","LC",397,16.000565295777
"Podilymbus podiceps","4KPPM",19,"Podicipedidae","LC",398,16.000565295777
"Zoothera aurea","5D7NC",18,"Turdidae","LC",399,16.0785678077783
"Vireo olivaceus","5BJL4",18,"Vireonidae","LC",400,16.0785678077783
"Acrocephalus melanopogon","9L6S",17,"Acrocephalidae","LC",401,16.1610299679703
"Calandrella brachydactyla","5X6P9",17,"Alaudidae","LC",402,16.1610299679703
"Anas bahamensis","DGN4",17,"Anatidae","LC",403,16.1610299679703
"Chloephaga picta","5Y8VT",17,"Anatidae","LC",404,16.1610299679703
"Tachymarptis melba","8J7CN",16,"Apodidae","LC",405,16.2484928092206
"Zonotrichia albicollis","5D75Z",16,"Passerellidae","LC",406,16.2484928092206
"Chroicocephalus philadelphia","5YGG3",16,"Laridae","LC",407,16.2484928092206
"Serinus canaria","4WV6K",16,"Fringillidae","LC",408,16.2484928092206
"Gavia adamsii","3FFP4",15,"Gaviidae","NT",409,16.3416022136121
"Glareola pratincola","3G5XG",15,"Glareolidae","LC",410,16.3416022136121
"Nymphicus hollandicus","486M2",15,"Cacatuidae","LC",411,16.3416022136121
"Himantopus mexicanus","6LWTY",14,"Recurvirostridae","",412,16.441137887163
"Phylloscopus nitidus","77FMT",14,"Phylloscopidae","LC",413,16.441137887163
"Oenanthe seebohmi","R5BJ2",14,"Muscicapidae","LC",414,16.441137887163
"Curruca hortensis","DDBMW",14,"Sylviidae","LC",415,16.441137887163
"Lanius minor","3S7BY",13,"Laniidae","LC",416,16.5480530910795
"Calidris fuscicollis","PK48",12,"Scolopacidae","VU",417,16.6635303084994
"Chenonetta jubata","9HCXF",12,"Anatidae","LC",418,16.6635303084994
"Gallus gallus","3F72J",11,"Phasianidae","LC",419,16.7890611905833
"Melanocorypha calandra","3Z8CW",11,"Alaudidae","LC",420,16.7890611905833
"Phalaropus tricolor","4FRHT",11,"Scolopacidae","LC",421,16.7890611905833
"Aegypius monachus","64WLF",11,"Accipitridae","NT",422,16.7890611905833
"Mareca sibilatrix","9HJGT",11,"Anatidae","LC",423,16.7890611905833
"Melopsittacus undulatus","3ZN3R",11,"Psittaculidae","LC",424,16.7890611905833
"Pavo cristatus","6TWGZ",10,"Phasianidae","LC",425,16.9265647143332
"Bostrychia hagedash","MMGJ",10,"Threskiornithidae","LC",426,16.9265647143332
"Tetrastes bonasia","55SK5",9,"Phasianidae","LC",427,17.0785678077783
"Clamator glandarius","VQNX",9,"Cuculidae","LC",428,17.0785678077783
"Anser canagicus","66XX4",9,"Anatidae","LC",429,17.0785678077783
"Locustella lanceolata","72LK6",9,"Locustellidae","LC",430,17.0785678077783
"Dumetella carolinensis","382DF",8,"Mimidae","LC",431,17.2484928092206
"Haliaeetus leucocephalus","3JBJW",8,"Accipitridae","LC",432,17.2484928092206
"Oenanthe melanoleuca","R59KR",7,"Muscicapidae","",433,17.441137887163
"Marmaronetta angustirostris","3Y7XF",6,"Anatidae","NT",434,17.6635303084994
"Curruca iberiae","DDBNN",6,"Sylviidae","",435,17.6635303084994
"Emberiza aureola","39FSL",6,"Emberizidae","CR",436,17.6635303084994
"Branta sandvicensis","N74G",6,"Anatidae","NT",437,17.6635303084994
"Aquila chrysaetos","FZLP",6,"Accipitridae","LC",438,17.6635303084994
"Numenius minutus","483T4",6,"Scolopacidae","LC",439,17.6635303084994
"Phoenicopterus chilensis","4GKQ2",5,"Phoenicopteridae","NT",440,17.9265647143332
"Lanius isabellinus","3S7BT",5,"Laniidae","LC",441,17.9265647143332
"Dendrocygna autumnalis","34Q2Z",5,"Anatidae","LC",442,17.9265647143332
"Sterna forsteri","6ZSCV",5,"Laridae","LC",443,17.9265647143332
"Calidris minutilla","6969N",5,"Scolopacidae","NT",444,17.9265647143332
"Syrmaticus reevesii","542SH",5,"Phasianidae","VU",445,17.9265647143332
"Spatula versicolor","9HP5X",5,"Anatidae","LC",446,17.9265647143332
"Anas flavirostris","DGNM",4,"Anatidae","LC",447,18.2484928092206
"Vanellus leucurus","7FFJB",4,"Charadriidae","LC",448,18.2484928092206
"Milvago chimachima","43DZ8",4,"Falconidae","",449,18.2484928092206
"Aquila fasciata","FZLR",4,"Accipitridae","LC",450,18.2484928092206
"Gypaetus barbatus","6KVBQ",4,"Accipitridae","NT",451,18.2484928092206
"Pelecanus onocrotalus","75YWG",4,"Pelecanidae","LC",452,18.2484928092206
"Curruca sarda","DDBP3",4,"Sylviidae","LC",453,18.2484928092206
"Emberiza cia","9G559",4,"Emberizidae","LC",454,18.2484928092206
"Alaudala heinei","L7HPN",4,"Alaudidae","LC",455,18.2484928092206
"Anser fabalis","679WS",4,"Anatidae","LC",456,18.2484928092206
"Curruca melanocephala","DDBNH",4,"Sylviidae","LC",457,18.2484928092206
"Spatula rhynchotis","9HKY5",3,"Anatidae","LC",458,18.6635303084994
"Cardinalis cardinalis","R56G",3,"Cardinalidae","LC",459,18.6635303084994
"Haemorhous mexicanus","6L8DR",3,"Fringillidae","LC",460,18.6635303084994
"Spatula hottentota","9HP5T",3,"Anatidae","LC",461,18.6635303084994
"Phasianus versicolor","4FWMP",3,"Phasianidae","LC",462,18.6635303084994
"Calonectris borealis","D5KBW",3,"Procellariidae","LC",463,18.6635303084994
"Agapornis roseicollis","65MG4",3,"Psittaculidae","LC",464,18.6635303084994
"Oenanthe hispanica","48X7W",3,"Muscicapidae","LC",465,18.6635303084994
"Anas capensis","DGN8",3,"Anatidae","",466,18.6635303084994
"Plegadis ridgwayi","4K62M",3,"Threskiornithidae","LC",467,18.6635303084994
"Tadorna cana","54GHR",3,"Anatidae","LC",468,18.6635303084994
"Dendrocygna viduata","34Q36",2,"Anatidae","LC",469,19.2484928092206
"Phoenicopterus roseus","4GKQ5",2,"Phoenicopteridae","LC",470,19.2484928092206
"Chrysolophus pictus","5Z2F9",2,"Phasianidae","LC",471,19.2484928092206
"Amazonetta brasiliensis","CKFW",2,"Anatidae","LC",472,19.2484928092206
"Sturnia sinensis","537Z7",2,"Sturnidae","LC",473,19.2484928092206
"Spatula cyanoptera","9HKY4",2,"Anatidae","LC",474,19.2484928092206
"Poicephalus senegalus","4KWM6",2,"Psittacidae","LC",475,19.2484928092206
"Turdus migratorius","59PMB",2,"Turdidae","LC",476,19.2484928092206
"Euplectes afer","6HCWF",2,"Ploceidae","LC",477,19.2484928092206
"Porphyrio poliocephalus","CPCMT",2,"Rallidae","",478,19.2484928092206
"Acridotheres tristis","9KHT",2,"Sturnidae","LC",479,19.2484928092206
"Callipepla californica","PSBS",2,"Odontophoridae","LC",480,19.2484928092206
"Trichoglossus moluccanus","58CK8",2,"Psittaculidae","LC",481,19.2484928092206
"Bucephala albeola","NM24",2,"Anatidae","LC",482,19.2484928092206
"Alectoris rufa","BLSJ",2,"Phasianidae","NT",483,19.2484928092206
"Emberiza spodocephala","39FTR",2,"Emberizidae","LC",484,19.2484928092206
"Charadrius mongolus","TMX7",2,"Charadriidae","",485,19.2484928092206
"Psittacus erithacus","78JXM",2,"Psittacidae","EN",486,19.2484928092206
"Acridotheres cristatellus","9KHM",2,"Sturnidae","LC",487,19.2484928092206
"Calidris acuminata","PK3Y",1,"Scolopacidae","VU",488,20.2484928092206
"Pelecanus conspicillatus","75YWF",1,"Pelecanidae","LC",489,20.2484928092206
"Amandava amandava","65XNN",1,"Estrildidae","LC",490,20.2484928092206
"Grus virgo","CNWNW",1,"Gruidae","",491,20.2484928092206
"Calliope calliope","MBJZ4",1,"Muscicapidae","LC",492,20.2484928092206
"Psittacula alexandri","4PKC7",1,"Psittaculidae","NT",493,20.2484928092206
"Crithagra mozambica","6BGMD",1,"Fringillidae","LC",494,20.2484928092206
"Geranoaetus melanoleucus","3FVCC",1,"Accipitridae","LC",495,20.2484928092206
"Dacelo novaeguineae","33SX2",1,"Alcedinidae","LC",496,20.2484928092206
"Lophura nycthemera","72MJW",1,"Phasianidae","LC",497,20.2484928092206
"Cyanistes cyanus","32NH3",1,"Paridae","LC",498,20.2484928092206
"Ficedula albicollis","6HWH4",1,"Muscicapidae","LC",499,20.2484928092206
"Cereopsis novaehollandiae","9HDDL",1,"Anatidae","LC",500,20.2484928092206
"Onychoprion anaethetus","49RDZ",1,"Laridae","LC",501,20.2484928092206
"Monticola saxatilis","44B86",1,"Muscicapidae","LC",502,20.2484928092206
"Agapornis fischeri","65MFH",1,"Psittaculidae","NT",503,20.2484928092206
"Curruca subalpina","DDBNM",1,"Sylviidae","",504,20.2484928092206
"Cygnus melancoryphus","32ZQ8",1,"Anatidae","LC",505,20.2484928092206
"Loxia leucoptera","3W8WT",1,"Fringillidae","LC",506,20.2484928092206
"Neophron percnopterus","73W3F",1,"Accipitridae","EN",507,20.2484928092206
"Caracara plancus","QZS5",1,"Falconidae","LC",508,20.2484928092206
"Meleagris gallopavo","3ZDJV",1,"Phasianidae","LC",509,20.2484928092206
"Aratinga jandaya","G65Q",1,"Psittacidae","LC",510,20.2484928092206
"Buteo jamaicensis","69669",1,"Accipitridae","LC",511,20.2484928092206
"Aquila rapax","FZLX",1,"Accipitridae","VU",512,20.2484928092206
"Quiscalus major","4R7KB",1,"Icteridae","LC",513,20.2484928092206
"Thalassarche melanophris","7C5H9",1,"Diomedeidae","LC",514,20.2484928092206
"Phoenicopterus ruber","4GKQ6",1,"Phoenicopteridae","LC",515,20.2484928092206
"Uria lomvia","7DS6X",1,"Alcidae","LC",516,20.2484928092206
"Parabuteo unicinctus","4CN4R",1,"Accipitridae","LC",517,20.2484928092206
"Tringa melanoleuca","7D59V",1,"Scolopacidae","NT",518,20.2484928092206
"Carduelis citrinella","R6J9",1,"Fringillidae","LC",519,20.2484928092206
"Taeniopygia guttata","54HRJ",1,"Estrildidae","LC",520,20.2484928092206
"Ichthyaetus audouinii","6N5PM",1,"Laridae","VU",521,20.2484928092206
"Vanellus miles","7FFJC",1,"Charadriidae","LC",522,20.2484928092206
"Phoeniconaias minor","6VBLL",1,"Phoenicopteridae","NT",523,20.2484928092206
"Rhea americana","4S5KY",1,"Rheidae","NT",524,20.2484928092206
"Cyanochen cyanoptera","6C4P6",1,"Anatidae","NT",525,20.2484928092206
"Plectropterus gambensis","782LG",1,"Anatidae","LC",526,20.2484928092206
"Pterocles orientalis","4PW55",1,"Pteroclidae","LC",527,20.2484928092206
"Lonchura oryzivora","3VYFC",1,"Estrildidae","",528,20.2484928092206
"Chloris spinoides","5Y8C9",1,"Fringillidae","LC",529,20.2484928092206
